Region,SiteID,SiteNum,I.E,TransectID,Management Condition,LAT,LON
AL,AL1,1,E,AL1E,Reference,31.01283333,-87.09772222
AL,AL1,1,I,AL1I,Reference,31.01075,-87.09727778
AL,AL10,10,E,AL10E,"Clear cut, residues removed",31.57125,-86.47422222
AL,AL10,10,I,AL10I,"Clear cut, residues removed",31.57205556,-86.47505556
AL,AL11,11,E,AL11E,Young,31.58194444,-86.47861111
AL,AL11,11,I,AL11I,Young,31.58388889,-86.47455556
AL,AL12,12,E,AL12E,Old,31.76036111,-86.78755556
AL,AL12,12,I,AL12I,Old,31.75955556,-86.7855
AL,AL13,13,E,AL13E,Unthinned,31.70663889,-86.78416667
AL,AL13,13,I,AL13I,Unthinned,31.71216667,-86.7825
AL,AL14,14,E,AL14E,"Clear cut, residues removed",31.75163889,-86.79252778
AL,AL14,14,I,AL14I,"Clear cut, residues removed",31.75613889,-86.79047222
AL,AL15,15,E,AL15E,Unthinned,31.73116667,-86.75169444
AL,AL15,15,I,AL15I,Unthinned,31.72791667,-86.75005556
AL,AL16,16,E,AL16E,"Clear cut, debris left",31.72102778,-86.74161111
AL,AL16,16,I,AL16I,"Clear cut, debris left",31.72183333,-86.73741667
AL,AL17,17,E,AL17E,Old,31.7475,-86.76566667
AL,AL17,17,I,AL17I,Old,31.74608333,-86.76255556
AL,AL18,18,E,AL18E,"Clear cut, residues removed",31.76058333,-86.77013889
AL,AL18,18,I,AL18I,"Clear cut, residues removed",31.76516667,-86.77005556
AL,AL19,19,E,AL19E,Young,31.77425,-86.77852778
AL,AL19,19,I,AL19I,Young,31.77922222,-86.78308333
AL,AL2,2,E,AL2E,Reference,31.01322222,-87.07352778
AL,AL2,2,I,AL2I,Reference,31.01158333,-87.07352778
AL,AL20,20,E,AL20E,Thinned,31.70655556,-86.85391667
AL,AL20,20,I,AL20I,Thinned,31.70655556,-86.85391667
AL,AL21,21,E,AL21E,"Clear cut, debris left",31.79397222,-86.78825
AL,AL21,21,I,AL21I,"Clear cut, debris left",31.79366667,-86.79058333
AL,AL22,22,E,AL22E,Young,31.57838889,-86.868
AL,AL22,22,I,AL22I,Young,31.57986111,-86.86977778
AL,AL23,23,E,AL23E,Unthinned,31.53797222,-86.81883333
AL,AL23,23,I,AL23I,Unthinned,31.54033333,-86.82172222
AL,AL24,24,E,AL24E,Old,31.13230556,-86.68522222
AL,AL24,24,I,AL24I,Old,31.13455556,-86.68758333
AL,AL25,25,E,AL25E,Thinned,31.71852778,-86.75533333
AL,AL25,25,I,AL25I,Thinned,31.71727778,-86.75688889
AL,AL26,26,E,AL26E,Reference,31.17666667,-86.70108333
AL,AL26,26,I,AL26I,Reference,31.17944444,-86.69816667
AL,AL27,27,E,AL27E,Corn,31.80480556,-86.55072222
AL,AL27,27,I,AL27I,Corn,31.80580556,-86.55725
AL,AL28,28,E,AL28E,Corn,31.77661111,-86.48463889
AL,AL28,28,I,AL28I,Corn,31.77908333,-86.48547222
AL,AL3,3,E,AL3E,"Clear cut, debris left",31.57425,-87.02863889
AL,AL3,3,I,AL3I,"Clear cut, debris left",31.57230556,-87.02816667
AL,AL4,4,E,AL4E,"Clear cut, debris left",31.56811111,-87.02769444
AL,AL4,4,I,AL4I,"Clear cut, debris left",31.57019444,-87.028
AL,AL5,5,E,AL5E,Old,31.47555556,-87.40208333
AL,AL5,5,I,AL5I,Old,31.47836111,-87.40486111
AL,AL6,6,E,AL6E,Thinned,31.48119444,-87.40363889
AL,AL6,6,I,AL6I,Thinned,31.48202778,-87.40061111
AL,AL7,7,E,AL7E,Unthinned,31.71791667,-86.79216667
AL,AL7,7,I,AL7I,Unthinned,31.72036111,-86.79125
AL,AL8,8,E,AL8E,Thinned,31.72380556,-86.78927778
AL,AL8,8,I,AL8I,Thinned,31.73316667,-86.79261111
AL,AL9,9,E,AL9E,Young,31.73716667,-86.79413889
AL,AL9,9,I,AL9I,Young,31.74169444,-86.79594444
GV,GV1,1,E,GV1E,"Clear cut, residues removed",29.84758333,-82.24755556
GV,GV1,1,I,GV1I,"Clear cut, residues removed",29.84638889,-82.24969444
GV,GV10,10,E,GV10E,Young,29.50694444,-82.34758333
GV,GV10,10,I,GV10I,Young,29.50730556,-82.34491667
GV,GV11,11,E,GV11E,Unthinned,29.50347222,-82.31552778
